Nº,Fecha y Hora de Registro,Velocidad (Km/h),Latitud,Longitud,FechaHora,Dia,delta_t_s,delta_v,delta_lat,delta_lon,Vel_Pred_kmh
9,2025-12-19 06:25:58,48.0,-0.3505566666666667,-78.46329777777778,2025-12-19 06:25:58,2025-12-19,0.6931471805599453,-5.666666666666671,-0.001,-0.001,36.41811239719391
28,2025-12-19 06:26:15,43.0,-0.2688655555555556,-78.48685333333333,2025-12-19 06:26:15,2025-12-19,2.8903717578961645,-8.0,0.001,-0.001,31.49295139312744
23,2025-12-19 06:26:41,34.0,-0.3024472222222222,-78.45597333333333,2025-12-19 06:26:41,2025-12-19,3.295836866004329,-7.666666666666664,-0.001,0.001,24.113359689712524
13,2025-12-19 06:27:15,25.0,-0.408125,-78.54668444444444,2025-12-19 06:27:15,2025-12-19,3.555348061489413,-11.333333333333332,-0.001,-0.001,23.852078914642334
15,2025-12-19 06:27:23,9.0,-0.34587,-78.45779555555555,2025-12-19 06:27:23,2025-12-19,2.19722457733622,-7.000000000000002,0.001,0.001,8.758942723274231
15,2025-12-19 06:27:30,13.0,-0.4073966666666667,-78.54675555555555,2025-12-19 06:27:30,2025-12-19,2.079441541679836,-5.0,-0.001,-0.001,8.134453177452087
2,2025-12-19 06:28:05,10.0,-0.3776694444444444,-78.5024711111111,2025-12-19 06:28:05,2025-12-19,3.58351893845611,5.0,0.001,0.001,10.459136962890625
24,2025-12-19 06:28:11,24.0,-0.3674483333333333,-78.47664888888889,2025-12-19 06:28:11,2025-12-19,1.9459101490553128,14.666666666666666,0.001,0.001,28.51127529144287
11,2025-12-19 06:28:20,57.0,-0.2546288888888889,-78.48386666666667,2025-12-19 06:28:20,2025-12-19,2.302585092994046,14.000000000000004,0.001,-0.001,53.92649602890015
13,2025-12-19 06:28:22,52.0,-0.3339477777777778,-78.43697777777778,2025-12-19 06:28:22,2025-12-19,1.0986122886681098,10.333333333333329,-0.001,0.001,49.07254409790039
1,2025-12-19 06:28:26,55.0,-0.2607716666666667,-78.48805333333334,2025-12-19 06:28:26,2025-12-19,1.6094379124341005,-3.666666666666664,0.001,-0.001,47.863725423812866
11,2025-12-19 06:28:27,46.0,-0.3998866666666666,-78.53248,2025-12-19 06:28:27,2025-12-19,0.6931471805599453,-3.666666666666664,-0.001,-0.001,38.56169617176056
24,2025-12-19 06:28:32,41.0,-0.3332561111111111,-78.43578666666667,2025-12-19 06:28:32,2025-12-19,1.791759469228055,-5.333333333333336,0.001,0.001,32.92483067512512
27,2025-12-19 06:28:40,39.0,-0.375805,-78.49811555555556,2025-12-19 06:28:40,2025-12-19,2.19722457733622,-1.3333333333333357,-0.001,-0.001,32.54878306388855
