"Fecha y Hora del Equipo","Fecha y Hora de Registro","Velocidad (Km/h)","Latitud","Longitud"
"2025-11-27 13:07:54","2025-11-27 13:07:55","73.00","-0.32461","-78.44039111111111"
"2025-11-27 13:07:59","2025-11-27 13:08:00","74.00","-0.32550222222222225","-78.44006222222222"
"2025-11-27 13:08:04","2025-11-27 13:08:05","77.00","-0.3264111111111111","-78.43975111111111"
"2025-11-27 13:08:09","2025-11-27 13:08:10","76.00","-0.32720055555555555","-78.43924444444444"
"2025-11-27 13:08:14","2025-11-27 13:08:15","80.00","-0.3276633333333333","-78.4384"
"2025-11-27 13:08:19","2025-11-27 13:08:20","81.00","-0.3281411111111111","-78.4375111111111"
"2025-11-27 13:08:24","2025-11-27 13:08:25","78.00","-0.32883666666666667","-78.43675555555555"
"2025-11-27 13:08:29","2025-11-27 13:08:30","74.00","-0.329655","-78.43623111111111"
"2025-11-27 13:08:34","2025-11-27 13:08:35","75.00","-0.33049555555555554","-78.43568888888889"
"2025-11-27 13:08:39","2025-11-27 13:08:40","57.00","-0.33119611111111114","-78.4352"
"2025-11-27 13:08:44","2025-11-27 13:08:45","30.00","-0.33168555555555557","-78.43491555555556"
"2025-11-27 13:08:49","2025-11-27 13:08:50","18.00","-0.3319916666666667","-78.43484444444445"
"2025-11-27 13:09:04","2025-11-27 13:09:06","8.00","-0.3321677777777778","-78.43486222222222"
"2025-11-27 13:09:09","2025-11-27 13:09:10","9.00","-0.33230333333333334","-78.43485333333334"
"2025-11-27 13:09:14","2025-11-27 13:09:16","24.00","-0.33253444444444447","-78.43488"
"2025-11-27 13:09:18","2025-11-27 13:09:20","37.00","-0.33275166666666667","-78.43512888888888"
"2025-11-27 13:09:19","2025-11-27 13:09:21","34.00","-0.33279333333333333","-78.4352"
"2025-11-27 13:09:34","2025-11-27 13:09:35","18.00","-0.3329461111111111","-78.43543111111111"
"2025-11-27 13:09:39","2025-11-27 13:09:40","40.00","-0.33317555555555556","-78.43578666666667"
"2025-11-27 13:09:44","2025-11-27 13:09:45","51.00","-0.33351166666666665","-78.43629333333334"
